data_id,data_name,products,link
hormel,Hormel,435,https://world.openfoodfacts.org/brand/hormel
fresh-easy,Fresh-easy,435,https://world.openfoodfacts.org/brand/fresh-easy
marks-and-spencer,Marks-and-spencer,434,https://world.openfoodfacts.org/brand/marks-and-spencer
philadelphia,Philadelphia,434,https://world.openfoodfacts.org/brand/philadelphia
the-hain-celestial-group-inc,The-hain-celestial-group-inc,431,https://world.openfoodfacts.org/brand/the-hain-celestial-group-inc
null,Null,431,https://world.openfoodfacts.org/brand/null
milsani,Milsani,427,https://world.openfoodfacts.org/brand/milsani
dolciando,Dolciando,427,https://world.openfoodfacts.org/brand/dolciando
celnat,Celnat,427,https://world.openfoodfacts.org/brand/celnat
vahine,Vahine,424,https://world.openfoodfacts.org/brand/vahine
saveurs-de-nos-regions,Saveurs-de-nos-regions,421,https://world.openfoodfacts.org/brand/saveurs-de-nos-regions
ricola,Ricola,420,https://world.openfoodfacts.org/brand/ricola
veritas,Veritas,420,https://world.openfoodfacts.org/brand/veritas
buitoni,Buitoni,417,https://world.openfoodfacts.org/brand/buitoni
nature-valley,Nature-valley,415,https://world.openfoodfacts.org/brand/nature-valley
el-granero-integral,El-granero-integral,414,https://world.openfoodfacts.org/brand/el-granero-integral
wegmans-food-markets-inc,Wegmans-food-markets-inc,414,https://world.openfoodfacts.org/brand/wegmans-food-markets-inc
monin,Monin,413,https://world.openfoodfacts.org/brand/monin
doritos,Doritos,411,https://world.openfoodfacts.org/brand/doritos
petit-navire,Petit-navire,407,https://world.openfoodfacts.org/brand/petit-navire
kusmi-tea,Kusmi-tea,407,https://world.openfoodfacts.org/brand/kusmi-tea
gold-emblem,Gold-emblem,406,https://world.openfoodfacts.org/brand/gold-emblem
vico,Vico,406,https://world.openfoodfacts.org/brand/vico
maille,Maille,403,https://world.openfoodfacts.org/brand/maille
aldi-benner-company,Aldi-benner-company,403,https://world.openfoodfacts.org/brand/aldi-benner-company
albert-menes,Albert-menes,403,https://world.openfoodfacts.org/brand/albert-menes
birds-eye,Birds-eye,402,https://world.openfoodfacts.org/brand/birds-eye
gullon,Gullon,402,https://world.openfoodfacts.org/brand/gullon
kuhne,Kuhne,402,https://world.openfoodfacts.org/brand/kuhne
simply-nature,Simply-nature,402,https://world.openfoodfacts.org/brand/simply-nature
ah,Ah,398,https://world.openfoodfacts.org/brand/ah
lima,Lima,398,https://world.openfoodfacts.org/brand/lima
royal,Royal,397,https://world.openfoodfacts.org/brand/royal
unes,Unes,397,https://world.openfoodfacts.org/brand/unes
favorina,Favorina,396,https://world.openfoodfacts.org/brand/favorina
lotus,Lotus,394,https://world.openfoodfacts.org/brand/lotus
pere-dodu,Pere-dodu,393,https://world.openfoodfacts.org/brand/pere-dodu
eric-bur,Eric-bur,391,https://world.openfoodfacts.org/brand/eric-bur
pouce,Pouce,390,https://world.openfoodfacts.org/brand/pouce
leaderprice,Leaderprice,389,https://world.openfoodfacts.org/brand/leaderprice
no-name,No-name,387,https://world.openfoodfacts.org/brand/no-name
en-cuisine,En-cuisine,385,https://world.openfoodfacts.org/brand/en-cuisine
frit-ravich,Frit-ravich,384,https://world.openfoodfacts.org/brand/frit-ravich
hellmann-s,Hellmann-s,383,https://world.openfoodfacts.org/brand/hellmann-s
rustica,Rustica,381,https://world.openfoodfacts.org/brand/rustica
jeden-tag,Jeden-tag,380,https://world.openfoodfacts.org/brand/jeden-tag
general-mills,General-mills,379,https://world.openfoodfacts.org/brand/general-mills
valu-time,Valu-time,378,https://world.openfoodfacts.org/brand/valu-time
granarolo,Granarolo,377,https://world.openfoodfacts.org/brand/granarolo
signature-kitchens,Signature-kitchens,377,https://world.openfoodfacts.org/brand/signature-kitchens
harris-teeter-inc,Harris-teeter-inc,376,https://world.openfoodfacts.org/brand/harris-teeter-inc
wilton,Wilton,376,https://world.openfoodfacts.org/brand/wilton
naturalia,Naturalia,375,https://world.openfoodfacts.org/brand/naturalia
foodspring,Foodspring,374,https://world.openfoodfacts.org/brand/foodspring
co-op,Co-op,373,https://world.openfoodfacts.org/brand/co-op
sprouts,Sprouts,373,https://world.openfoodfacts.org/brand/sprouts
winco-foods,Winco-foods,373,https://world.openfoodfacts.org/brand/winco-foods
la-belle-iloise,La-belle-iloise,373,https://world.openfoodfacts.org/brand/la-belle-iloise
groupe-auchan,Groupe-auchan,372,https://world.openfoodfacts.org/brand/groupe-auchan
pepsico,Pepsico,372,https://world.openfoodfacts.org/brand/pepsico
biotechusa,Biotechusa,371,https://world.openfoodfacts.org/brand/biotechusa
tendre-plus,Tendre-plus,369,https://world.openfoodfacts.org/brand/tendre-plus
wrigley-s,Wrigley-s,368,https://world.openfoodfacts.org/brand/wrigley-s
delpierre,Delpierre,367,https://world.openfoodfacts.org/brand/delpierre
danival,Danival,364,https://world.openfoodfacts.org/brand/danival
top-budget,Top-budget,364,https://world.openfoodfacts.org/brand/top-budget
volvic,Volvic,363,https://world.openfoodfacts.org/brand/volvic
candia,Candia,362,https://world.openfoodfacts.org/brand/candia
babybio,Babybio,361,https://world.openfoodfacts.org/brand/babybio
marie,Marie,360,https://world.openfoodfacts.org/brand/marie
madrange,Madrange,359,https://world.openfoodfacts.org/brand/madrange
les-croises,Les-croises,359,https://world.openfoodfacts.org/brand/les-croises
notre-jardin,Notre-jardin,358,https://world.openfoodfacts.org/brand/notre-jardin
nissin,Nissin,357,https://world.openfoodfacts.org/brand/nissin
auchan-bio,Auchan-bio,356,https://world.openfoodfacts.org/brand/auchan-bio
don-simon,Don-simon,356,https://world.openfoodfacts.org/brand/don-simon
ener-bio,Ener-bio,355,https://world.openfoodfacts.org/brand/ener-bio
private-selection,Private-selection,355,https://world.openfoodfacts.org/brand/private-selection
uncle-ben-s,Uncle-ben-s,354,https://world.openfoodfacts.org/brand/uncle-ben-s
tic-tac,Tic-tac,354,https://world.openfoodfacts.org/brand/tic-tac
vegetalia,Vegetalia,353,https://world.openfoodfacts.org/brand/vegetalia
aro,Aro,353,https://world.openfoodfacts.org/brand/aro
dole,Dole,353,https://world.openfoodfacts.org/brand/dole
ecor,Ecor,353,https://world.openfoodfacts.org/brand/ecor
